Qty,Value,Part Num,Package,Parts,Note
1,,3X2 HEADER 2MM THROUGH HOLE,2X03M_TH,J2,
1,,MICRO USB FEMALE SMT,USB-AB-MICRO-SMD_V03_SMT,J1,
1,0u1,0U1 X7R 0603,CAPC1608X92N,C5,
1,1K,1K 0603,RESC1608X55N,R4,
1,1K5,1K5 0603,RESC1608X55N,R1,
2,1uF,1UF X7R 0603,CAPC1608X92N,"C3, C4",
1,12MHz,12MHZ TC26,TC26H,X1,Not needed for PL2303HXD
2,22R,22R 0603,RESC1608X55N,"R2, R3",
2,22pF,22PF 0603,CAPC1608X92N,"C1, C2",Not needed for PL2303HXD
1,24LC02,24LC02,TSSOP8,U2,Not needed for PL2303HXD
1,PL2303HX,PL-2303HXD SSOP,SSOP28DB,U1,
1,,PCB,,,https://oshpark.com/shared_projects/V03I6PaO
1,,M1.6 x 12mm screw (DIN912),,,
1,,M1.6 nut (DIN934 M1.6),,,
1,,"0.25"" standoff, 1.6mm ID, 3mm OD",,,
