Qty,Value,Part Num,Package,Parts,
1,,Green LED 0603,SML0603,LED1,
1,,1X04 HEADER 2.54MM,1X04,J1,
1,,2X3 2MM FEMALE HEADER THROUGH HOLE,2X03M_TH,J4,
3,0.1uF,0U1 0603,CAPC1608X92N,"C3, C4, C7",
1,1K2,1K2 0603,RESC1608X55N,R1,> 4.7K for ultra bright LED
2,1uF,STOCK: 1UF/10V 20% TDK,CAPC1608X92N,"C5, C6",
1,12MHz,12MHZ TC26,TC26H,X1,https://www.aliexpress.com/item/Free-shiiping-20pcs-2-6-12MHz-Error-20ppm-20pF-Cylinder-quartz-resonator/32323801360.html
2,22pF,22PF 0603,CAPC1608X92N,"C1, C2",
1,74LVC1G02DBV,74LVC1G02DBV,SOT23-5,U3,
1,PN87520-S,Molex PN87520,PN87520-S,J3,
1,STM32F030F4P6,STM32F030F4P6,TSSOP20,U2,
1,USBA-M-DXSMT2,Keystone 931,CHINESE_USB_M_SMT-2,J2,
1,XC6206P332MR,XC6206P332MR,SOT95P280X135-3N,U1,Alternative: MCP1700T-3302E/TT
1,PCB,,,,https://oshpark.com/shared_projects/bEmfHd8b
